Date,Coin,Open,High,Low,Close,Volume,Marketcap
2014-10-25,verge,7.000000000000001e-06,1e-05,7.000000000000001e-06,7.000000000000001e-06,707.0,24519.0
2014-10-26,verge,7.000000000000001e-06,1.3000000000000001e-05,7.000000000000001e-06,1.1e-05,2234.0,24407.0
2014-10-27,verge,1.1e-05,1.7e-05,7.000000000000001e-06,1e-05,2857.0,40807.0
2014-10-28,verge,1e-05,1.1e-05,4e-06,4e-06,2185.0,37687.0
2014-10-29,verge,4e-06,1.1e-05,4e-06,7.000000000000001e-06,1221.0,15542.0
2014-10-30,verge,7.000000000000001e-06,1.1e-05,4e-06,7.000000000000001e-06,1116.0,26243.0
2014-10-31,verge,7.000000000000001e-06,7.000000000000001e-06,3e-06,7.000000000000001e-06,1444.0,25912.0
2014-11-01,verge,7.000000000000001e-06,7.000000000000001e-06,4e-06,4e-06,269.0,25137.0
2014-11-02,verge,4e-06,6e-06,3e-06,5e-06,295.0,15363.0
2014-11-03,verge,5e-06,7.000000000000001e-06,3e-06,4e-06,286.0,18086.0
2014-11-04,verge,4e-06,7.000000000000001e-06,3e-06,5e-06,551.0,14550.0
2014-11-05,verge,5e-06,7.000000000000001e-06,3e-06,4e-06,1592.0,17533.0
2014-11-06,verge,4e-06,7.000000000000001e-06,4e-06,4e-06,203.0,14112.0
2014-11-07,verge,4e-06,7.000000000000001e-06,4e-06,4e-06,101.0,13586.0
2014-11-08,verge,4e-06,7.000000000000001e-06,3e-06,4e-06,1707.0,14844.0
2014-11-09,verge,4e-06,6e-06,4e-06,6e-06,538.0,15560.0
2014-11-10,verge,6e-06,6e-06,4e-06,4e-06,147.0,21373.0
2014-11-11,verge,4e-06,4e-06,4e-06,4e-06,134.0,14845.0
2014-11-12,verge,4e-06,4e-06,4e-06,4e-06,102.0,14467.0
2014-11-13,verge,4e-06,5e-06,4e-06,4e-06,214.0,16056.0
2014-11-14,verge,4e-06,4e-06,4e-06,4e-06,101.0,15645.0
2014-11-15,verge,4e-06,4e-06,4e-06,4e-06,171.0,14638.0
2014-11-16,verge,4e-06,6e-06,4e-06,5e-06,160.0,14941.0
2014-11-17,verge,5e-06,8e-06,4e-06,4e-06,235.0,19468.0
2014-11-18,verge,4e-06,4e-06,4e-06,4e-06,174.0,14399.0
2014-11-19,verge,4e-06,7.000000000000001e-06,4e-06,4e-06,492.0,13905.0
2014-11-20,verge,4e-06,8e-06,4e-06,4e-06,366.0,14183.0
2014-11-21,verge,4e-06,4e-06,3e-06,4e-06,87.0,13303.0
2014-11-22,verge,4e-06,4e-06,4e-06,4e-06,37.0,13210.0
2014-11-23,verge,4e-06,5e-06,4e-06,4e-06,66.0,13396.0
2014-11-24,verge,4e-06,4e-06,4e-06,4e-06,143.0,13125.0
2014-11-25,verge,4e-06,4e-06,3e-06,3e-06,22.0,13889.0
2014-11-26,verge,3e-06,4e-06,3e-06,3e-06,16.0,10796.0
2014-11-27,verge,3e-06,4e-06,3e-06,4e-06,134.0,10050.0
2014-11-28,verge,4e-06,4e-06,4e-06,4e-06,9.0,13703.0
2014-11-29,verge,4e-06,6e-06,4e-06,4e-06,75.0,13954.0
2014-11-30,verge,4e-06,4e-06,4e-06,4e-06,59.0,13562.0
2014-12-01,verge,4e-06,6e-06,4e-06,6e-06,119.0,14043.0
2014-12-02,verge,6e-06,6e-06,4e-06,4e-06,131.0,20423.0
